,Country,Lat,Long,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1,continent,color,daily_conf,daily_death,daily_recovered,daily_conf_f,daily_recovered_f,daily_death_f
1986,Sri Lanka,7.0,81.0,2020-02-01,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1989,Sweden,63.0,16.0,2020-02-01,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
1860,Cambodia,11.55,104.9167,2020-02-01,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1865,China,1083.3367,3684.4197,2020-02-01,11891,259,275,"11,891",275,259,1.8172387036932227,Asia,red,2089.0,46.0,61.0,"2,089",61,46
1838,Australia,-255.9695,1129.8623,2020-02-01,12,0,2,12,2,0,1.722163057360357,Oceania,green,3.0,0.0,0.0,3,0,0
1907,India,21.0,78.0,2020-02-01,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
1913,Italy,43.0,12.0,2020-02-01,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
1915,Japan,36.0,138.0,2020-02-01,20,0,1,20,1,0,1.722163057360357,Asia,red,5.0,0.0,0.0,5,0,0
1919,South Korea,36.0,128.0,2020-02-01,12,0,0,12,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
1890,Finland,64.0,26.0,2020-02-01,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
1894,Germany,51.0,9.0,2020-02-01,8,0,0,8,0,0,1.722163057360357,Europe,orange,3.0,0.0,0.0,3,0,0
2131,Nepal,28.1667,84.25,2020-02-02,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2145,Philippines,13.0,122.0,2020-02-02,2,1,0,2,0,1,1.7225301447979355,Asia,red,1.0,1.0,0.0,1,0,1
2118,Malaysia,2.5,112.5,2020-02-02,8,0,0,8,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2150,Russia,60.0,90.0,2020-02-02,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2186,United Kingdom,270.0299,-482.9247,2020-02-02,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2185,United Arab Emirates,24.0,54.0,2020-02-02,5,0,0,5,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
2190,Vietnam,16.0,108.0,2020-02-02,6,0,1,6,1,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2177,Thailand,15.0,101.0,2020-02-02,19,0,5,19,5,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2182,United States of America,37.0902,-95.7129,2020-02-02,8,0,0,8,0,0,1.722163057360357,Americas,navy,0.0,0.0,0.0,0,0,0
2174,Taiwan,23.7,121.0,2020-02-02,10,0,0,10,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2162,Singapore,1.2833,103.8333,2020-02-02,18,0,0,18,0,0,1.722163057360357,Asia,red,2.0,0.0,0.0,2,0,0
2168,Spain,40.0,-4.0,2020-02-02,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2169,Sri Lanka,7.0,81.0,2020-02-02,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2172,Sweden,63.0,16.0,2020-02-02,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2043,Cambodia,11.55,104.9167,2020-02-02,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2048,China,1083.3367,3684.4197,2020-02-02,16630,361,463,"16,630",463,361,1.8546816223262432,Asia,red,4739.0,102.0,188.0,"4,739",188,102
2021,Australia,-255.9695,1129.8623,2020-02-02,12,0,2,12,2,0,1.722163057360357,Oceania,green,0.0,0.0,0.0,0,0,0
2090,India,21.0,78.0,2020-02-02,2,0,0,2,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
2096,Italy,43.0,12.0,2020-02-02,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2098,Japan,36.0,138.0,2020-02-02,20,0,1,20,1,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2102,South Korea,36.0,128.0,2020-02-02,15,0,0,15,0,0,1.722163057360357,Asia,red,3.0,0.0,0.0,3,0,0
2073,Finland,64.0,26.0,2020-02-02,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2077,Germany,51.0,9.0,2020-02-02,10,0,0,10,0,0,1.722163057360357,Europe,orange,2.0,0.0,0.0,2,0,0
2314,Nepal,28.1667,84.25,2020-02-03,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2328,Philippines,13.0,122.0,2020-02-03,2,1,0,2,0,1,1.7225301447979355,Asia,red,0.0,0.0,0.0,0,0,0
2301,Malaysia,2.5,112.5,2020-02-03,8,0,0,8,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2333,Russia,60.0,90.0,2020-02-03,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2369,United Kingdom,270.0299,-482.9247,2020-02-03,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2368,United Arab Emirates,24.0,54.0,2020-02-03,5,0,0,5,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2373,Vietnam,16.0,108.0,2020-02-03,8,0,1,8,1,0,1.722163057360357,Asia,red,2.0,0.0,0.0,2,0,0
2360,Thailand,15.0,101.0,2020-02-03,19,0,5,19,5,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2365,United States of America,37.0902,-95.7129,2020-02-03,11,0,0,11,0,0,1.722163057360357,Americas,navy,3.0,0.0,0.0,3,0,0
2357,Taiwan,23.7,121.0,2020-02-03,10,0,0,10,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2345,Singapore,1.2833,103.8333,2020-02-03,18,0,0,18,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2351,Spain,40.0,-4.0,2020-02-03,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2352,Sri Lanka,7.0,81.0,2020-02-03,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2355,Sweden,63.0,16.0,2020-02-03,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2226,Cambodia,11.55,104.9167,2020-02-03,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2231,China,1083.3367,3684.4197,2020-02-03,19716,425,614,"19,716",614,425,1.8781752183312757,Asia,red,3086.0,64.0,151.0,"3,086",151,64
2204,Australia,-255.9695,1129.8623,2020-02-03,12,0,2,12,2,0,1.722163057360357,Oceania,green,0.0,0.0,0.0,0,0,0
2273,India,21.0,78.0,2020-02-03,3,0,0,3,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
2279,Italy,43.0,12.0,2020-02-03,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2281,Japan,36.0,138.0,2020-02-03,20,0,1,20,1,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2285,South Korea,36.0,128.0,2020-02-03,15,0,0,15,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2256,Finland,64.0,26.0,2020-02-03,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2260,Germany,51.0,9.0,2020-02-03,12,0,0,12,0,0,1.722163057360357,Europe,orange,2.0,0.0,0.0,2,0,0
2497,Nepal,28.1667,84.25,2020-02-04,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2511,Philippines,13.0,122.0,2020-02-04,2,1,0,2,0,1,1.7225301447979355,Asia,red,0.0,0.0,0.0,0,0,0
2484,Malaysia,2.5,112.5,2020-02-04,10,0,0,10,0,0,1.722163057360357,Asia,red,2.0,0.0,0.0,2,0,0
2538,Sweden,63.0,16.0,2020-02-04,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2543,Thailand,15.0,101.0,2020-02-04,25,0,5,25,5,0,1.722163057360357,Asia,red,6.0,0.0,0.0,6,0,0
2548,United States of America,37.0902,-95.7129,2020-02-04,11,0,0,11,0,0,1.722163057360357,Americas,navy,0.0,0.0,0.0,0,0,0
2551,United Arab Emirates,24.0,54.0,2020-02-04,5,0,0,5,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2552,United Kingdom,270.0299,-482.9247,2020-02-04,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2556,Vietnam,16.0,108.0,2020-02-04,8,0,1,8,1,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2528,Singapore,1.2833,103.8333,2020-02-04,24,0,0,24,0,0,1.722163057360357,Asia,red,6.0,0.0,0.0,6,0,0
2540,Taiwan,23.7,121.0,2020-02-04,11,0,0,11,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
2516,Russia,60.0,90.0,2020-02-04,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2534,Spain,40.0,-4.0,2020-02-04,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2535,Sri Lanka,7.0,81.0,2020-02-04,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2409,Cambodia,11.55,104.9167,2020-02-04,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2414,China,1083.3367,3684.4197,2020-02-04,23707,491,843,"23,707",843,491,1.9024029892114656,Asia,red,3991.0,66.0,229.0,"3,991",229,66
2387,Australia,-255.9695,1129.8623,2020-02-04,13,0,2,13,2,0,1.722163057360357,Oceania,green,1.0,0.0,0.0,1,0,0
2462,Italy,43.0,12.0,2020-02-04,2,0,0,2,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2464,Japan,36.0,138.0,2020-02-04,22,0,1,22,1,0,1.722163057360357,Asia,red,2.0,0.0,0.0,2,0,0
2439,Finland,64.0,26.0,2020-02-04,1,0,0,1,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2456,India,21.0,78.0,2020-02-04,3,0,0,3,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2443,Germany,51.0,9.0,2020-02-04,12,0,0,12,0,0,1.722163057360357,Europe,orange,0.0,0.0,0.0,0,0,0
2468,South Korea,36.0,128.0,2020-02-04,16,0,0,16,0,0,1.722163057360357,Asia,red,1.0,0.0,0.0,1,0,0
2680,Nepal,28.1667,84.25,2020-02-05,1,0,0,1,0,0,1.722163057360357,Asia,red,0.0,0.0,0.0,0,0,0
2694,Philippines,13.0,122.0,2020-02-05,2,1,0,2,0,1,1.7225301447979355,Asia,red,0.0,0.0,0.0,0,0,0
