,Country/Region,Date,confirmed_cases,death_cases,recovered_cases,confirm,recovered,death,death1
66,Germany,2020-01-22,0,0,0,0,0,0,0.06836577025798513
59,Ethiopia,2020-01-22,0,0,0,0,0,0,0.06836577025798513
315,North Macedonia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
314,Nigeria,2020-01-23,0,0,0,0,0,0,0.06836577025798513
313,Niger,2020-01-23,0,0,0,0,0,0,0.06836577025798513
312,Nicaragua,2020-01-23,0,0,0,0,0,0,0.06836577025798513
308,Namibia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
310,Netherlands,2020-01-23,0,0,0,0,0,0,0.06836577025798513
309,Nepal,2020-01-23,0,0,0,0,0,0,0.06836577025798513
316,Norway,2020-01-23,0,0,0,0,0,0,0.06836577025798513
311,New Zealand,2020-01-23,0,0,0,0,0,0,0.06836577025798513
317,Oman,2020-01-23,0,0,0,0,0,0,0.06836577025798513
327,Romania,2020-01-23,0,0,0,0,0,0,0.06836577025798513
319,Panama,2020-01-23,0,0,0,0,0,0,0.06836577025798513
320,Papua New Guinea,2020-01-23,0,0,0,0,0,0,0.06836577025798513
321,Paraguay,2020-01-23,0,0,0,0,0,0,0.06836577025798513
322,Peru,2020-01-23,0,0,0,0,0,0,0.06836577025798513
323,Philippines,2020-01-23,0,0,0,0,0,0,0.06836577025798513
324,Poland,2020-01-23,0,0,0,0,0,0,0.06836577025798513
325,Portugal,2020-01-23,0,0,0,0,0,0,0.06836577025798513
326,Qatar,2020-01-23,0,0,0,0,0,0,0.06836577025798513
307,Mozambique,2020-01-23,0,0,0,0,0,0,0.06836577025798513
318,Pakistan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
306,Morocco,2020-01-23,0,0,0,0,0,0,0.06836577025798513
284,Latvia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
304,Mongolia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
328,Russia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
285,Lebanon,2020-01-23,0,0,0,0,0,0,0.06836577025798513
286,Lesotho,2020-01-23,0,0,0,0,0,0,0.06836577025798513
287,Liberia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
288,Libya,2020-01-23,0,0,0,0,0,0,0.06836577025798513
289,Liechtenstein,2020-01-23,0,0,0,0,0,0,0.06836577025798513
290,Lithuania,2020-01-23,0,0,0,0,0,0,0.06836577025798513
291,Luxembourg,2020-01-23,0,0,0,0,0,0,0.06836577025798513
292,MS Zaandam,2020-01-23,0,0,0,0,0,0,0.06836577025798513
305,Montenegro,2020-01-23,0,0,0,0,0,0,0.06836577025798513
293,Madagascar,2020-01-23,0,0,0,0,0,0,0.06836577025798513
295,Malaysia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
296,Maldives,2020-01-23,0,0,0,0,0,0,0.06836577025798513
297,Mali,2020-01-23,0,0,0,0,0,0,0.06836577025798513
298,Malta,2020-01-23,0,0,0,0,0,0,0.06836577025798513
299,Mauritania,2020-01-23,0,0,0,0,0,0,0.06836577025798513
300,Mauritius,2020-01-23,0,0,0,0,0,0,0.06836577025798513
301,Mexico,2020-01-23,0,0,0,0,0,0,0.06836577025798513
302,Moldova,2020-01-23,0,0,0,0,0,0,0.06836577025798513
303,Monaco,2020-01-23,0,0,0,0,0,0,0.06836577025798513
294,Malawi,2020-01-23,0,0,0,0,0,0,0.06836577025798513
329,Rwanda,2020-01-23,0,0,0,0,0,0,0.06836577025798513
375,Zimbabwe,2020-01-23,0,0,0,0,0,0,0.06836577025798513
331,Saint Lucia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
356,Thailand,2020-01-23,3,0,0,3,0,0,0.06836577025798513
357,Timor-Leste,2020-01-23,0,0,0,0,0,0,0.06836577025798513
358,Togo,2020-01-23,0,0,0,0,0,0,0.06836577025798513
359,Trinidad and Tobago,2020-01-23,0,0,0,0,0,0,0.06836577025798513
360,Tunisia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
361,Turkey,2020-01-23,0,0,0,0,0,0,0.06836577025798513
362,US,2020-01-23,1,0,0,1,0,0,0.06836577025798513
363,Uganda,2020-01-23,0,0,0,0,0,0,0.06836577025798513
364,Ukraine,2020-01-23,0,0,0,0,0,0,0.06836577025798513
355,Tanzania,2020-01-23,0,0,0,0,0,0,0.06836577025798513
365,United Arab Emirates,2020-01-23,0,0,0,0,0,0,0.06836577025798513
367,Uruguay,2020-01-23,0,0,0,0,0,0,0.06836577025798513
368,Uzbekistan,2020-01-23,0,0,0,0,0,0,0.06836577025798513
369,Venezuela,2020-01-23,0,0,0,0,0,0,0.06836577025798513
370,Vietnam,2020-01-23,2,0,0,2,0,0,0.06836577025798513
371,West Bank and Gaza,2020-01-23,0,0,0,0,0,0,0.06836577025798513
372,Western Sahara,2020-01-23,0,0,0,0,0,0,0.06836577025798513
373,Yemen,2020-01-23,0,0,0,0,0,0,0.06836577025798513
374,Zambia,2020-01-23,0,0,0,0,0,0,0.06836577025798513
283,Laos,2020-01-23,0,0,0,0,0,0,0.06836577025798513
366,United Kingdom,2020-01-23,0,0,0,0,0,0,0.06836577025798513
330,Saint Kitts and Nevis,2020-01-23,0,0,0,0,0,0,0.06836577025798513
